EmployeeNativeID,CompanyCode,Department,EmployeeID,EmployeeFullName,EmployeeCleansedName,EmployeeEmail,EmployeeAddress,EmployeeCity,EmployeeState,EmployeeCountry,EmployeeZipCode,EmployeeStatus,EmploymentType,EmployeeDesignation,HireDate,RehireDate,TerminationDate,Createddate,Createdby,LastUpdateDate,LastUpdateby,ManagerName,ManagerEmail,ManagementLevel,PayRateType,TimeType,CostCenter,Approver,IsExecutive,UserDefinedColumn1,UserDefinedColumn2,UserDefinedColumn3,UserDefinedColumn4,UserDefinedColumn5
105889,I,Department 15,Employee ID35,Employee Name35,Employee Name35,EmployeeName35@abc.com,Argentina,,,Argentina,,Y,Regular,NA/MA Sales Execuitve,7/1/2010,,,,,,,,,,,,8,,Yes,,,,,
147333,I,Department 10,Employee ID36,Employee Name36,Employee Name36,EmployeeName36@abc.com,Switzerland,,,Switzerland,,Y,Regular,Merchandiser,2/1/2015,,,,,,,,,,,,8,,No,,,,,
192218,I,Department 12,Employee ID37,Employee Name37,Employee Name37,EmployeeName37@abc.com,Saudi Arabia,,,Saudi Arabia,,Y,Regular,Inside Sales,8/22/2016,,,,,,,,,,,,2,,No,,,,,
196453,I,Department 5,Employee ID38,Employee Name38,Employee Name38,EmployeeName38@abc.com,Slovakia,,,Slovakia,,Y,Regular,Warehouse,11/17/2016,,,,,,,,,,,,2,,Yes,,,,,
92099,I,Department 8,Employee ID39,Employee Name39,Employee Name39,EmployeeName39@abc.com,Switzerland,,,Switzerland,,Y,Regular,SPG Specialist,6/26/2009,,,,,,,,,,,,10,,Yes,,,,,
142141,I,Department 6,Employee ID41,Employee Name41,Employee Name41,EmployeeName41@abc.com,South Africa,,,South Africa,,Y,Regular,Merchandiser,7/1/2014,,,,,,,,,,,,4,,Yes,,,,,
17960,I,Department 3,Employee ID43,Employee Name43,Employee Name43,EmployeeName43@abc.com,United States,,,United States,,Y,Regular,Asst Import Purchaser,6/6/2008,,,,,,,,,,,,3,,Yes,,,,,
246022,I,Department 1,Employee ID44,Employee Name44,Employee Name44,EmployeeName44@abc.com,Saudi Arabia,,,Saudi Arabia,,Y,Regular,Sr. Ap Analyst,3/10/2019,,,,,,,,,,,,2,,Yes,,,,,
141307,I,Department 4,Employee ID48,Employee Name48,Employee Name48,EmployeeName48@abc.com,Turkey,,,Turkey,,Y,Regular,Warehouse Spvsr,6/9/2014,,,,,,,,,,,,3,,Yes,,,,,
96692,I,Department 2,Employee ID52,Employee Name52,Employee Name52,EmployeeName52@abc.com,Finland,,,Finland,,Y,Regular,Truck Driver,6/26/2009,,,,,,,,,,,,3,,No,,,,,
189040,I,Department 14,Employee ID54,Employee Name54,Employee Name54,EmployeeName54@abc.com,Russia Federation,,,Russia Federation,,N,Temp,Territory Manager,6/23/2016,,9/25/2018,,,,,,,,,,3,,No,,,,,
185588,I,Department 14,Employee ID55,Employee Name55,Employee Name55,EmployeeName55@abc.com,"Taiwan, Province of China",,,"Taiwan, Province of China",,Y,Regular,Order Picker,6/1/2016,,,,,,,,,,,,4,,No,,,,,
119003,I,Department 11,Employee ID58,Employee Name58,Employee Name58,EmployeeName58@abc.com,Belgium,,,Belgium,,Y,Regular,Accountant,2/8/2012,,,,,,,,,,,,8,,Yes,,,,,
140587,I,Department 11,Employee ID59,Employee Name59,Employee Name59,EmployeeName59@abc.com,Netherlands,,,Netherlands,,Y,Regular,SPG Specialist,5/1/2014,,,,,,,,,,,,2,,No,,,,,
144923,I,Department 4,Employee ID60,Employee Name60,Employee Name60,EmployeeName60@abc.com,China,,,China,,Y,Regular,Territory Manager,10/23/2014,,,,,,,,,,,,3,,Yes,,,,,
121993,I,Department 7,Employee ID61,Employee Name61,Employee Name61,EmployeeName61@abc.com,China,,,China,,Y,Regular,SPG Specialist,4/15/2012,,,,,,,,,,,,4,,No,,,,,
106090,I,Department 14,Employee ID62,Employee Name62,Employee Name62,EmployeeName62@abc.com,Netherlands,,,Netherlands,,Y,Regular,National Accountant,6/15/2010,,,,,,,,,,,,3,,Yes,,,,,
209051,I,Department 3,Employee ID63,Employee Name63,Employee Name63,EmployeeName63@abc.com,Turkey,,,Turkey,,Y,Regular,Territory Manager,7/1/2017,,,,,,,,,,,,8,,Yes,,,,,
224489,I,Department 10,Employee ID64,Employee Name64,Employee Name64,EmployeeName64@abc.com,Colombia,,,Colombia,,Y,Regular,Admin Asst,4/3/2018,,,,,,,,,,,,8,,Yes,,,,,
74422,I,Department 14,Employee ID65,Employee Name65,Employee Name65,EmployeeName65@abc.com,United States,,,United States,,Y,Regular,Admin Asst,6/6/2008,,,,,,,,,,,,8,,Yes,,,,,
176049,I,Department 3,Employee ID67,Employee Name67,Employee Name67,EmployeeName67@abc.com,Czechia,,,Czechia,,Y,Regular,Warehouse,1/5/2016,,,,,,,,,,,,2,,Yes,,,,,
2753,I,Department 1,Employee ID68,Employee Name68,Employee Name68,EmployeeName68@abc.com,United States,,,United States,,Y,Regular,NA/MA Sales Execuitve,6/6/2008,,,,,,,,,,,,8,,Yes,,,,,
93471,I,Department 17,Employee ID70,Employee Name70,Employee Name70,EmployeeName70@abc.com,France,,,France,,Y,Regular,Territory Manager,6/26/2009,,,,,,,,,,,,9,,No,,,,,
99002,I,Department 9,Employee ID71,Employee Name71,Employee Name71,EmployeeName71@abc.com,Bulgaria,,,Bulgaria,,Y,Regular,Benefits/Risk Manager,11/25/2009,,,,,,,,,,,,7,,No,,,,,
238817,I,Department 15,Employee ID72,Employee Name72,Employee Name72,EmployeeName72@abc.com,Hong Kong,,,Hong Kong,,Y,Regular,Admin Asst,12/6/2018,,,,,,,,,,,,7,,No,,,,,
143693,I,Department 17,Employee ID73,Employee Name73,Employee Name73,EmployeeName73@abc.com,Portugal,,,Portugal,,Y,Regular,"QC Manager, Protwist",9/9/2014,,,,,,,,,,,,2,,No,,,,,
223966,I,Department 4,Employee ID74,Employee Name74,Employee Name74,EmployeeName74@abc.com,Czechia,,,Czechia,,Y,Regular,Sales Manager,2/25/2018,,,,,,,,,,,,2,,No,,,,,
208794,I,Department 8,Employee ID75,Employee Name75,Employee Name75,EmployeeName75@abc.com,Norway,,,Norway,,Y,Regular,Sales Manager,7/1/2017,,,,,,,,,,,,7,,Yes,,,,,
142043,I,Department 3,Employee ID76,Employee Name76,Employee Name76,EmployeeName76@abc.com,Turkey,,,Turkey,,Y,Regular,Warehouse Spvsr,7/1/2014,,,,,,,,,,,,9,,Yes,,,,,
105129,I,Department 1,Employee ID77,Employee Name77,Employee Name77,EmployeeName77@abc.com,Russia Federation,,,Russia Federation,,N,Temp,National Accountant,5/5/2010,,4/19/2018,,,,,,,,,,5,,No,,,,,
141293,I,Department 15,Employee ID78,Employee Name78,Employee Name78,EmployeeName78@abc.com,Egypt,,,Egypt,,Y,Regular,Dc Manager,6/15/2014,,,,,,,,,,,,7,,Yes,,,,,
152927,I,Department 12,Employee ID79,Employee Name79,Employee Name79,EmployeeName79@abc.com,Turkey,,,Turkey,,Y,Regular,Operations Manager,8/7/2015,,,,,,,,,,,,2,,Yes,,,,,
176320,I,Department 3,Employee ID80,Employee Name80,Employee Name80,EmployeeName80@abc.com,Switzerland,,,Switzerland,,Y,Regular,Controller,1/1/2016,,,,,,,,,,,,8,,Yes,,,,,
16714,I,Department 14,Employee ID81,Employee Name81,Employee Name81,EmployeeName81@abc.com,Hungary,,,Hungary,,N,Temp,Sr. Credit & Collects Spec,8/12/2011,,5/8/2019,,,,,,,,,,2,,Yes,,,,,
221892,I,Department 15,Employee ID82,Employee Name82,Employee Name82,EmployeeName82@abc.com,Romania,,,Romania,,Y,Regular,Inventory & A/P,2/1/2018,,,,,,,,,,,,7,,Yes,,,,,
60690,I,Department 10,Employee ID83,Employee Name83,Employee Name83,EmployeeName83@abc.com,Australia,,,Australia,,Y,Regular,Asst Import Purchaser,6/26/2009,,,,,,,,,,,,2,,No,,,,,
132431,I,Department 11,Employee ID84,Employee Name84,Employee Name84,EmployeeName84@abc.com,Japan,,,Japan,,Y,Regular,Assistant Operations Manager,8/1/2013,,,,,,,,,,,,3,,No,,,,,
198549,I,Department 9,Employee ID85,Employee Name85,Employee Name85,EmployeeName85@abc.com,Romania,,,Romania,,N,Temp,Regional Manager,1/1/2017,,5/3/2019,,,,,,,,,,2,,No,,,,,
100027,I,Department 17,Employee ID86,Employee Name86,Employee Name86,EmployeeName86@abc.com,Sweden,,,Sweden,,Y,Regular,Operations Manager,10/12/2009,,,,,,,,,,,,7,,No,,,,,
228516,I,Department 5,Employee ID87,Employee Name87,Employee Name87,EmployeeName87@abc.com,Denmark,,,Denmark,,Y,Regular,National Accountant,6/1/2018,,,,,,,,,,,,2,,Yes,,,,,
49142,I,Department 2,Employee ID88,Employee Name88,Employee Name88,EmployeeName88@abc.com,Ireland,,,Ireland,,Y,Regular,Director of Financial Rep,7/10/2008,,,,,,,,,,,,7,,Yes,,,,,
151659,I,Department 14,Employee ID89,Employee Name89,Employee Name89,EmployeeName89@abc.com,Switzerland,,,Switzerland,,Y,Regular,Merchandiser,7/2/2015,,,,,,,,,,,,2,,Yes,,,,,
87388,I,Department 3,Employee ID90,Employee Name90,Employee Name90,EmployeeName90@abc.com,Hungary,,,Hungary,,Y,Regular,SPG Specialist,6/26/2009,,,,,,,,,,,,7,,Yes,,,,,
222945,I,Department 2,Employee ID91,Employee Name91,Employee Name91,EmployeeName91@abc.com,Croatia,,,Croatia,,Y,Regular,Admin Asst,2/13/2018,,,,,,,,,,,,2,,Yes,,,,,
242478,I,Department 11,Employee ID92,Employee Name92,Employee Name92,EmployeeName92@abc.com,"Taiwan, Province of China",,,"Taiwan, Province of China",,Y,Regular,Inside Sales Representative,1/4/2019,,,,,,,,,,,,3,,No,,,,,
179483,I,Department 9,Employee ID93,Employee Name93,Employee Name93,EmployeeName93@abc.com,Lebanon,,,Lebanon,,Y,Regular,National Accountant,2/2/2016,,,,,,,,,,,,6,,Yes,,,,,
18604,I,Department 8,Employee ID95,Employee Name95,Employee Name95,EmployeeName95@abc.com,Canada,,,Canada,,Y,Regular,Warehouse Lead,6/26/2009,,,,,,,,,,,,9,,Yes,,,,,
113418,I,Department 6,Employee ID96,Employee Name96,Employee Name96,EmployeeName96@abc.com,Ireland,,,Ireland,,Y,Regular,Director Specialist,5/16/2011,,,,,,,,,,,,3,,Yes,,,,,
111622,I,Department 6,Employee ID97,Employee Name97,Employee Name97,EmployeeName97@abc.com,Australia,,,Australia,,Y,Regular,Territory Manager,3/27/2011,,,,,,,,,,,,8,,Yes,,,,,
241569,I,Department 10,Employee ID98,Employee Name98,Employee Name98,EmployeeName98@abc.com,Austria,,,Austria,,Y,Regular,Director. Nat Maj Account,12/1/2018,,,,,,,,,,,,2,,No,,,,,
146942,I,Department 12,Employee ID99,Employee Name99,Employee Name99,EmployeeName99@abc.com,Brazil,,,Brazil,,Y,Regular,Controller,1/6/2015,,,,,,,,,,,,8,,Yes,,,,,
67489,I,Department 5,Employee ID100,Employee Name100,Employee Name100,EmployeeName100@abc.com,Switzerland,,,Switzerland,,Y,Regular,Warehouse,6/26/2009,,,,,,,,,,,,3,,No,,,,,
227395,I,Department 13,Employee ID101,Employee Name101,Employee Name101,EmployeeName101@abc.com,Argentina,,,Argentina,,Y,Regular,Truck Driver,5/2/2018,,,,,,,,,,,,3,,No,,,,,
97583,I,Department 12,Employee ID102,Employee Name102,Employee Name102,EmployeeName102@abc.com,Austria,,,Austria,,Y,Regular,SPG Specialist,7/1/2009,,,,,,,,,,,,8,,No,,,,,
136962,I,Department 8,Employee ID103,Employee Name103,Employee Name103,EmployeeName103@abc.com,Netherlands,,,Netherlands,,Y,Regular,Accountant,1/7/2014,,,,,,,,,,,,8,,Yes,,,,,
228167,I,Department 12,Employee ID104,Employee Name104,Employee Name104,EmployeeName104@abc.com,Saudi Arabia,,,Saudi Arabia,,Y,Regular,Director. Nat Maj Account,6/3/2018,,,,,,,,,,,,8,,No,,,,,
142987,I,Department 11,Employee ID106,Employee Name106,Employee Name106,EmployeeName106@abc.com,China,,,China,,N,Temp,Inside Sales Representative,9/18/2014,,3/6/2019,,,,,,,,,,8,,No,,,,,
51049,I,Department 14,Employee ID107,Employee Name107,Employee Name107,EmployeeName107@abc.com,Spain,,,Spain,,Y,Regular,Major Account Administrator,6/26/2009,,,,,,,,,,,,3,,No,,,,,
89249,I,Department 13,Employee ID108,Employee Name108,Employee Name108,EmployeeName108@abc.com,Austria,,,Austria,,Y,Regular,Directorector of Cred,6/26/2009,,,,,,,,,,,,2,,No,,,,,
101189,I,Department 16,Employee ID110,Employee Name110,Employee Name110,EmployeeName110@abc.com,Greece,,,Greece,,Y,Regular,Sr. Credit & Collects Spec,12/9/2009,,,,,,,,,,,,4,,Yes,,,,,
126836,I,Department 2,Employee ID112,Employee Name112,Employee Name112,EmployeeName112@abc.com,China,,,China,,Y,Regular,Lead Warehouse,11/8/2012,,,,,,,,,,,,9,,No,,,,,
174656,I,Department 10,Employee ID113,Employee Name113,Employee Name113,EmployeeName113@abc.com,Finland,,,Finland,,Y,Regular,Operations Manager,12/1/2015,,,,,,,,,,,,7,,No,,,,,
179191,I,Department 12,Employee ID114,Employee Name114,Employee Name114,EmployeeName114@abc.com,Lebanon,,,Lebanon,,Y,Regular,Sr. Credit & Collects Spec,2/1/2016,,,,,,,,,,,,2,,No,,,,,
214241,I,Department 3,Employee ID115,Employee Name115,Employee Name115,EmployeeName115@abc.com,Ireland,,,Ireland,,Y,Regular,Benefits/Risk Manager,10/1/2017,,,,,,,,,,,,2,,Yes,,,,,
15796,I,Department 6,Employee ID116,Employee Name116,Employee Name116,EmployeeName116@abc.com,Belgium,,,Belgium,,Y,Regular,Dc Manager,6/26/2009,,,,,,,,,,,,4,,Yes,,,,,
75245,I,Department 17,Employee ID117,Employee Name117,Employee Name117,EmployeeName117@abc.com,Russia Federation,,,Russia Federation,,Y,Regular,SAP Support Analyst,6/26/2009,,,,,,,,,,,,7,,Yes,,,,,
66971,I,Department 5,Employee ID118,Employee Name118,Employee Name118,EmployeeName118@abc.com,Switzerland,,,Switzerland,,Y,Regular,SAP Support Analyst,6/26/2009,,,,,,,,,,,,3,,No,,,,,
246960,I,Department 2,Employee ID119,Employee Name119,Employee Name119,EmployeeName119@abc.com,Colombia,,,Colombia,,Y,Regular,Sales Manager,3/3/2019,,,,,,,,,,,,3,,Yes,,,,,
141414,I,Department 9,Employee ID120,Employee Name120,Employee Name120,EmployeeName120@abc.com,United States,,,United States,,Y,Regular,Inside Sales Representative,7/1/2014,,,,,,,,,,,,9,,Yes,,,,,
32875,I,Department 14,Employee ID121,Employee Name121,Employee Name121,EmployeeName121@abc.com,Ireland,,,Ireland,,Y,Regular,Administrative Assistant,7/9/2008,,,,,,,,,,,,2,,Yes,,,,,
115792,I,Department 14,Employee ID122,Employee Name122,Employee Name122,EmployeeName122@abc.com,Germany,,,Germany,,Y,Regular,SAP Support Analyst,3/6/2012,,,,,,,,,,,,8,,No,,,,,
122129,I,Department 12,Employee ID123,Employee Name123,Employee Name123,EmployeeName123@abc.com,South Africa,,,South Africa,,Y,Regular,National Accountant,7/25/2012,,,,,,,,,,,,7,,No,,,,,
154703,I,Department 11,Employee ID124,Employee Name124,Employee Name124,EmployeeName124@abc.com,Thailand,,,Thailand,,Y,Regular,Inside Sales,9/29/2015,,,,,,,,,,,,7,,Yes,,,,,
144274,I,Department 15,Employee ID125,Employee Name125,Employee Name125,EmployeeName125@abc.com,United Arab Emirates,,,United Arab Emirates,,Y,Regular,Truck Driver,10/1/2014,,,,,,,,,,,,7,,Yes,,,,,
121014,I,Department 15,Employee ID126,Employee Name126,Employee Name126,EmployeeName126@abc.com,Brazil,,,Brazil,,Y,Regular,R Credit Manager,3/30/2012,,,,,,,,,,,,3,,Yes,,,,,
138068,I,Department 16,Employee ID127,Employee Name127,Employee Name127,EmployeeName127@abc.com,Portugal,,,Portugal,,Y,Regular,Operations Manager,2/10/2014,,,,,,,,,,,,2,,No,,,,,
174867,I,Department 5,Employee ID128,Employee Name128,Employee Name128,EmployeeName128@abc.com,Singapore,,,Singapore,,Y,Regular,Administrative Assistant,12/11/2015,,,,,,,,,,,,7,,Yes,,,,,
21728,I,Department 1,Employee ID130,Employee Name130,Employee Name130,EmployeeName130@abc.com,Germany,,,Germany,,Y,Regular,SAP Support Analyst,6/26/2009,,,,,,,,,,,,9,,No,,,,,
119708,I,Department 10,Employee ID131,Employee Name131,Employee Name131,EmployeeName131@abc.com,Germany,,,Germany,,Y,Regular,Benefits/Risk Manager,3/6/2012,,,,,,,,,,,,8,,Yes,,,,,
7851,I,Department 9,Employee ID132,Employee Name132,Employee Name132,EmployeeName132@abc.com,Puerto Rico,,,Puerto Rico,,Y,Regular,Accounts Receivable,6/5/2008,,,,,,,,,,,,9,,Yes,,,,,
59998,I,Department 2,Employee ID133,Employee Name133,Employee Name133,EmployeeName133@abc.com,Italy,,,Italy,,Y,Regular,R Credit Manager,6/26/2009,,,,,,,,,,,,4,,Yes,,,,,
111224,I,Department 17,Employee ID134,Employee Name134,Employee Name134,EmployeeName134@abc.com,Slovenia,,,Slovenia,,Y,Regular,Truck Driver,3/1/2011,,,,,,,,,,,,7,,Yes,,,,,
217861,I,Department 6,Employee ID135,Employee Name135,Employee Name135,EmployeeName135@abc.com,Slovenia,,,Slovenia,,Y,Regular,Office Admin,11/10/2017,,,,,,,,,,,,2,,Yes,,,,,
61299,I,Department 9,Employee ID136,Employee Name136,Employee Name136,EmployeeName136@abc.com,United States,,,United States,,Y,Regular,Merchandiser,6/6/2008,,,,,,,,,,,,2,,Yes,,,,,
130086,I,Department 13,Employee ID137,Employee Name137,Employee Name137,EmployeeName137@abc.com,Sweden,,,Sweden,,Y,Regular,"QC Manager, Protwist",4/9/2013,,,,,,,,,,,,2,,No,,,,,
72496,I,Department 13,Employee ID139,Employee Name139,Employee Name139,EmployeeName139@abc.com,United States,,,United States,,Y,Regular,Account Payable Specialist,6/6/2008,,,,,,,,,,,,5,,Yes,,,,,
221370,I,Department 11,Employee ID141,Employee Name141,Employee Name141,EmployeeName141@abc.com,Lithuania,,,Lithuania,,Y,Regular,Account Payable Specialist,1/6/2018,,,,,,,,,,,,2,,Yes,,,,,
150791,I,Department 13,Employee ID142,Employee Name142,Employee Name142,EmployeeName142@abc.com,"Korea, Republic of",,,"Korea, Republic of",,Y,Regular,Inside Sales,5/16/2015,,,,,,,,,,,,8,,No,,,,,
104920,I,Department 14,Employee ID143,Employee Name143,Employee Name143,EmployeeName143@abc.com,Slovakia,,,Slovakia,,Y,Regular,Territory Manager,5/24/2010,,,,,,,,,,,,7,,Yes,,,,,
12914,I,Department 16,Employee ID144,Employee Name144,Employee Name144,EmployeeName144@abc.com,France,,,France,,Y,Regular,Territory Manager,6/26/2009,,,,,,,,,,,,4,,Yes,,,,,
203157,I,Department 14,Employee ID145,Employee Name145,Employee Name145,EmployeeName145@abc.com,Germany,,,Germany,,Y,Regular,Operations Manager,4/1/2017,,,,,,,,,,,,3,,Yes,,,,,
120512,I,Department 15,Employee ID146,Employee Name146,Employee Name146,EmployeeName146@abc.com,Germany,,,Germany,,Y,Regular,Warehouse Spvsr,3/7/2012,,,,,,,,,,,,4,,Yes,,,,,
207278,I,Department 3,Employee ID147,Employee Name147,Employee Name147,EmployeeName147@abc.com,United Arab Emirates,,,United Arab Emirates,,N,Temp,Territory Manager,5/9/2017,,11/24/2017,,,,,,,,,,3,,Yes,,,,,
206207,I,Department 14,Employee ID148,Employee Name148,Employee Name148,EmployeeName148@abc.com,United States,,,United States,,Y,Regular,Purchasing,4/23/2017,,,,,,,,,,,,9,,Yes,,,,,
143321,I,Department 13,Employee ID149,Employee Name149,Employee Name149,EmployeeName149@abc.com,Hong Kong,,,Hong Kong,,Y,Regular,Clerical,9/18/2014,,,,,,,,,,,,3,,Yes,,,,,
102913,I,Department 17,Employee ID150,Employee Name150,Employee Name150,EmployeeName150@abc.com,Portugal,,,Portugal,,Y,Regular,Accountant,2/17/2010,,,,,,,,,,,,7,,Yes,,,,,
72860,I,Department 14,Employee ID151,Employee Name151,Employee Name151,EmployeeName151@abc.com,Czechia,,,Czechia,,Y,Regular,NA/MA Sales Execuitve,6/26/2009,,,,,,,,,,,,7,,Yes,,,,,
127768,I,Department 17,Employee ID152,Employee Name152,Employee Name152,EmployeeName152@abc.com,Denmark,,,Denmark,,Y,Regular,Territory Manager,12/31/2012,,,,,,,,,,,,7,,No,,,,,
52710,I,Department 5,Employee ID153,Employee Name153,Employee Name153,EmployeeName153@abc.com,Switzerland,,,Switzerland,,Y,Regular,National Accountant,6/26/2009,,,,,,,,,,,,8,,Yes,,,,,
218268,I,Department 11,Employee ID156,Employee Name156,Employee Name156,EmployeeName156@abc.com,Bulgaria,,,Bulgaria,,Y,Regular,Asst Import Purchaser,11/19/2017,,,,,,,,,,,,2,,No,,,,,
